quiz_detail_id,category,year level,question,answer_1,answer_2,answer_3,answer_4,correct_answer,is_active,difficulty_level
2721,Mathematics,Intermediate (Grade 4-6),"The cost of one ten-yard cloth is 125.75 pesos. If Marissa buys nine ten-yard cloth and pays 1,500 pesos, how much change will she receive?",PHP 368.25,PHP 269.10,PHP 382.75,PHP 410.50,PHP 368.25,1,Average
2722,Mathematics,Intermediate (Grade 4-6),"Karen has a set of threads. Each thread is 7.031 inches long. If Karen has twelve threads and lay it end-to-end, how many inches long will the line of threads be?",86.119 inches,81.182 inches,4.372  inches,83.658  inches,4.372  inches,1,Average
2723,Mathematics,Intermediate (Grade 4-6),Lorraine bought eight books. She paid 125.99 pesos for each book. She then sold all eight books for 175.25 pesos each. What is the difference between the total amount of money she paid for the books and the total amount of money Lorraine sold the books fo,PHP 394.08,PHP 367.10,PHP 371.89,PHP 391.72,PHP 394.08,1,Average
2724,Mathematics,Intermediate (Grade 4-6),"Hilda earned 500 pesos in one week. The next week, she earned 1,000 pesos. Then, she gave 0.4 of her earnings to her mother. How much did Hilda give to her mother?",PHP 500,PHP 700,PHP 400,PHP 600,PHP 600,1,Average
2725,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05043_01.jpg,FALSE,TRUE,,,TRUE,0,Average
2726,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05043_02.jpg,11,7,9,5,7,0,Average
2727,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05043_03.jpg,images/quizzes/MathQ05043_03_opA.JPG,images/quizzes/MathQ05043_03_opD.JPG,images/quizzes/MathQ05043_03_opC.JPG,images/quizzes/MathQ05043_03_opB.JPG,images/quizzes/MathQ05043_03_opA.JPG,0,Average
2728,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05043_04.jpg,images/quizzes/MathQ05043_04_opB.JPG,images/quizzes/MathQ05043_04_opA.JPG,images/quizzes/MathQ05043_04_opC.JPG,images/quizzes/MathQ05043_04_opD.JPG,images/quizzes/MathQ05043_04_opB.JPG,0,Average
2729,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05043_05.jpg,9,11,5,7,9,0,Average
2730,Mathematics,Intermediate (Grade 4-6),The quotient of 78.98 divided by thirty-two hundredths rounded to the nearest hundredths is 246.81. Identify if the statement is true or false. Select the correct answer.,TRUE,,,FALSE,TRUE,0,Average
2731,Mathematics,Intermediate (Grade 4-6),Which of the following is the quotient of 4.05 and 0.36? Select the correct answer.,13.72,11.25,15.12,17.39,11.25,1,Average
2732,Mathematics,Intermediate (Grade 4-6),Find the quotient of 1.0256 and 0.16.,6.41,5.49,4.12,3.66,6.41,1,Average
2733,Mathematics,Intermediate (Grade 4-6),Find the quotient of 316.56042 and 7.002.,37.94,51.12,45.21,49.11,45.21,1,Average
2734,Mathematics,Intermediate (Grade 4-6),What is the quotient of 0.1287 divided by 0.26? Select the correct answer.,0.341,0.495,0.577,0.468,0.495,1,Average
2735,Mathematics,Intermediate (Grade 4-6),The quotient of 2 divided by 3 is 0.666. Identify if the statement is true or false. Select the correct answer.,,FALSE,,TRUE,FALSE,0,Average
2736,Mathematics,Intermediate (Grade 4-6),Which of the following is the quotient of 6 divided by 5? Select the correct answer.,1.2,1.5,1.4,1.3,1.2,1,Average
2737,Mathematics,Intermediate (Grade 4-6),Find the quotient of 12 divided by 5.,3.3,1.7,4.5,2.4,2.4,1,Average
2738,Mathematics,Intermediate (Grade 4-6),Find the quotient of 18 divided by 20.,0.618,0.6,0.9,0.45,0.9,1,Average
2739,Mathematics,Intermediate (Grade 4-6),What is the quotient of 72 divided by 45? Select the correct answer.,1.6,4.9,3.4,2.7,1.6,1,Average
2740,Mathematics,Intermediate (Grade 4-6),The estimated quotient of 19.12 divided by 3.65 is 5. Identify if the statement is true or false. Select the correct answer.,FALSE,TRUE,,,TRUE,0,Average
2741,Mathematics,Intermediate (Grade 4-6),Which of the following is the estimated quotient of 623.45 divided by 5.001? Select the correct answer.,110,115,120,125,125,1,Average
2742,Mathematics,Intermediate (Grade 4-6),Find the estimated quotient of 161.27 divided by 79.36.,1.7,5,4.5,2,2,1,Average
2743,Mathematics,Intermediate (Grade 4-6),Find the estimated quotient of 18.101 divided by 5.891.,12,7,3,1,3,1,Average
2744,Mathematics,Intermediate (Grade 4-6),What is the estimated quotient of 72.02 divided by 7.51? Select the correct answer.,9,5,7,11,9,1,Average
2745,Mathematics,Intermediate (Grade 4-6),"In a distance medley relay, a team consisted of four runners ran a total distance of 1,312.34 yards. If each of the runners ran the same distance, then they have run 328.085 yards each.",TRUE,,,FALSE,TRUE,0,Average
2746,Mathematics,Intermediate (Grade 4-6),"The income of Jack's store last month is 57,512.50. He needs to pay 11,726.25 pesos for the cost of his store's operation. If Jack deposits the remaining profit to his two bank accounts equally, how much will he deposit to each?","PHP 22,893.125","PHP 31,256.129","PHP 29,773.241","PHP 30,012.578","PHP 22,893.125",1,Average
2747,Mathematics,Intermediate (Grade 4-6),"One kilogram is equal to 35.274 ounces. If a filled container weighs 257.63 ounces, what is the weight of the container in kilograms? Round the answer to the nearest tenths. Select the correct answer.",7.9 kilograms,7.5 kilograms,7.7 kilograms,7.3 kilograms,7.3 kilograms,1,Average
2748,Mathematics,Intermediate (Grade 4-6),"Hannah earns 18,765.75 pesos from her job. She deposits 5,500 pesos to her savings account and keeps another 7,500 pesos for her monthly expenses. She divides the rest of the money equally into two piggy banks for her clothing and travels. How much will H","PHP 2,690.55","PHP 2,882.88","PHP 2,963.17","PHP 2,518.74","PHP 2,882.88",1,Average
2749,Mathematics,Intermediate (Grade 4-6),Gali has 2.376 kilograms of peanuts. He wants to share the peanuts to his five friends equally. How many kilograms peanuts will each of Gali's friends receive? Select the correct answer.,0.7811 kilograms,1.2891 kilograms,0.4752  kilograms,1.007 kilograms,0.4752  kilograms,1,Average
2750,Mathematics,Intermediate (Grade 4-6),There are some jars that weighs a few kilograms. What is the total weight of the jars?  What is missing from the problem? Select the correct answer.,None,Given,Situation,What is asked?,Given,1,Average
2751,Mathematics,Intermediate (Grade 4-6),Three buses and 172.89 kilometers. What is the total distance traveled by the buses? What is missing from the problem? Select the correct answer.,What is asked?,None,Situation,Given,Situation,1,Average
2752,Mathematics,Intermediate (Grade 4-6),"Martin goes biking for 4.67 kilometers four times a week. This week, he only went biking thrice. What is missing from the problem? Select the correct answer.",Given,What is asked?,Situation,None,What is asked?,1,Average
2753,Mathematics,Intermediate (Grade 4-6),Aling Puring cooked 7.12 kilograms of grilled fish for her husband's birthday. She needs to serve the fish equally for three plates. What is missing from the problem. Select the correct answer.,None,Given,Situation,What is asked?,What is asked?,1,Average
2754,Mathematics,Intermediate (Grade 4-6),"If Pedro and Juan weighs the same, and Diego weighs a little less than them, what is the difference between the weights of Pedro and Juan combined, and Diego's weight? What is missing from the problem? Select the correct answer.",What is asked?,None,Situation,Given,Given,1,Average
2755,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05049_01.jpg,FALSE,TRUE,,,TRUE,0,Average
2756,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05049_02.jpg,6 is to 3,6 is to 2,3 is to 6,2 is to 6,2 is to 6,0,Average
2757,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05049_03.jpg,images/quizzes/MathQ05049_03_opA.JPG,,,images/quizzes/MathQ05049_03_opB.JPG,images/quizzes/MathQ05049_03_opA.JPG,0,Average
2758,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05049_04.jpg,images/quizzes/MathQ05049_04_opB.JPG,images/quizzes/MathQ05049_04_opA.JPG,,,images/quizzes/MathQ05049_04_opB.JPG,0,Average
2759,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05049_05.jpg,3 is to 1,4 is to 1,1 is to 4,1 is to 3,1 is to 4,0,Average
2760,Mathematics,Intermediate (Grade 4-6),The simplest form of the ratio is 4 : 10 is 2 : 5. Identify if the statement is true or false. Select the correct answer.,TRUE,,,FALSE,TRUE,0,Average
2761,Mathematics,Intermediate (Grade 4-6),Which of the following is the simplest form of 54 : 63? Choose your answer.,7 : 6,7 : 7,6 : 7,6 : 6,6 : 7,1,Average
2762,Mathematics,Intermediate (Grade 4-6),Which of the following is the simplest form of 36 : 40? Choose your answer.,4 : 16,9 : 16,4 : 10,9 : 10,9 : 10,1,Average
2763,Mathematics,Intermediate (Grade 4-6),Which of the following is the simplest form of 99 : 99 in fraction form?,1/2,9/2,1,2,1,1,Average
2764,Mathematics,Intermediate (Grade 4-6),What is the simplest form of the ratio 17 : 13? Choose your answer.,17 : 13,2 : 5,7 : 9,13 : 17,17 : 13,1,Average
2765,Mathematics,Intermediate (Grade 4-6),The missing term in the pair of equivalent ratios 5 : 25 and ___ : 5 is 1. Identify if the statement is true or false. Select the correct answer.,,FALSE,,TRUE,TRUE,0,Average
2766,Mathematics,Intermediate (Grade 4-6),What is the value of n in the equivalent ratios 2/3 and 10/n? Choose your answer.,n = 20,n = 10,n = 15,n = 25,n = 15,1,Average
2767,Mathematics,Intermediate (Grade 4-6),Which of the following is the missing term in the pair of equivalent ratios ____ : 10 and 16 : 20?,16,9,8,10,8,1,Average
2768,Mathematics,Intermediate (Grade 4-6),Which pair of equivalent ratios have a missing term of 56?,5:8 and n:48,n:10 and 16:20,3:4 and n:20,5:8 and 35:n,5:8 and 35:n,1,Average
2769,Mathematics,Intermediate (Grade 4-6),Find the value of n: 7/n = 21/24,6,8,5,2,8,1,Average
2770,Mathematics,Intermediate (Grade 4-6),"A proportion has four terms. The first and third terms are called means, while the second and fourth terms are called extremes. Identify if the statement is true or false. Select the correct answer.",FALSE,TRUE,,,FALSE,0,Average
2771,Mathematics,Intermediate (Grade 4-6),Which of the following is not a proportion? Choose your answer.,42 : 78 = 7 : 13,2 : 7 = 4 : 14,6 : 24 = 2 : 8,3 : 10 = 5 : 8,3 : 10 = 5 : 8,1,Average
2772,Mathematics,Intermediate (Grade 4-6),Which of the following ratio will form a proportion together with the ratio 6 : 14?,5 : 8,2 : 4,15 : 23,30 : 70,30 : 70,1,Average
2773,Mathematics,Intermediate (Grade 4-6),Which of the following ratio will form a proportion together with the ratio 100 : 45? Choose your answer.,15 : 3,15 : 5,20 : 9,7 : 20,20 : 9,1,Average
2774,Mathematics,Intermediate (Grade 4-6),Which of the following is not a proportion?,16 : 8 = 8 : 4,7 : 3 = 21 : 9,3 : 4 = 5 : 9,1 : 2 = 4 : 8,3 : 4 = 5 : 9,1,Average
2775,Mathematics,Intermediate (Grade 4-6),"If we travel faster, then the time of travel gets shorter. We can say that speed is directly proportional  to time. Identify if the statement is true or false. Select the correct answer.",TRUE,,,FALSE,FALSE,0,Average
2776,Mathematics,Intermediate (Grade 4-6),There are 14 pieces of apple in a kilo. How many pieces of apples are there in three kilos?,36  apples,42 apples,39  apples,51  apples,42 apples,1,Average
2777,Mathematics,Intermediate (Grade 4-6),"Choose the missing number  to complete the proportion. ""36 players to 3 teams, 60 players to       ?     """,3  teams,6  teams,4  teams,5 teams,5 teams,1,Average
2778,Mathematics,Intermediate (Grade 4-6),"Match the missing number to complete the proportion. ""    ?      Words typed in 5 minutes 300 words typed in 6 minutes""",210 words,250 words,190 words,180 words,250 words,1,Average
2779,Mathematics,Intermediate (Grade 4-6),A 20-peso bill is equivalent to four 5-peso coins. How many 5-peso coins are there in a 1000-peso bill? Choose your answer.,200 5-peso coins,175 5-peso coins,210 5-peso coins,190 5-peso coins,200 5-peso coins,1,Average
2780,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05056_01.jpg,,1:36%; 2: 63%; 3: 62%,1:62%; 2: 36%; 3: 63%,1:63%; 2: 36%; 3: 62%,1:63%; 2: 36%; 3: 62%,0,Average
2781,Mathematics,Intermediate (Grade 4-6),Identify if the statement is true or false. 0.72 = 72 : 100 = 72% = 72/100,TRUE,,,FALSE,TRUE,0,Average
2782,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05056_03.jpg,0.98,0.9,0.99,1,0.98,0,Average
2783,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05056_04.jpg,,0.74,0.11,0.21,0.11,0,Average
2784,Mathematics,Intermediate (Grade 4-6),Which of the following is equivalent to 69%? Choose your answer.,"69 : 1,000",69,69/100,0.069,69/100,1,Average
2785,Mathematics,Intermediate (Grade 4-6),"In 4,500 = 6,000 x 75%, what is 4,500?",Base,Percentage,Rate,Discount,Percentage,1,Average
2786,Mathematics,Intermediate (Grade 4-6),Percentage is 63%. Rate is 500 and Base is 315. Identify if the statement is true or false. Select the correct answer.,,FALSE,,TRUE,FALSE,0,Average
2787,Mathematics,Intermediate (Grade 4-6),"Which of the following has the sequence of base, rate, and percentage?","20, 2%, 4","1,500, 20%, 302","80, 50%, 40","525, 7%, 100","80, 50%, 40",1,Average
2788,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05057_04.jpg,1:380; 2: 21%; 3: 79.8,1:79.8; 2: 21%; 3: 380,1:21%; 2: 79.8; 3: 380,,1:79.8; 2: 21%; 3: 380,0,Average
2789,Mathematics,Intermediate (Grade 4-6),Which of the following is the base and percentage if the rate is 75%?,Base - 600; Percentage - 300,Base - 500; Percentage - 300,Base - 300; Percentage - 300,Base - 400; Percentage - 300,Base - 400; Percentage - 300,1,Average
2790,Mathematics,Intermediate (Grade 4-6),"Marie and her husband ate in a fancy restaurant and paid PHP 2,625. The service is PHP 131.25 which is 5% of the total bill. Determine which of the following is correct. Select the correct answer.","Percentage - PHP 131.25; Rate - PHP 5%; Base - PHP 2,625","Percentage - PHP 131.25; Rate - PHP 2,625; Base - 5%","Percentage - PHP 2,625; Rate - PHP 5%; Base - PHP 131.25","Percentage - 5%; Rate - PHP 131.25; Base - PHP 2,625","Percentage - PHP 131.25; Rate - PHP 5%; Base - PHP 2,625",1,Average
2791,Mathematics,Intermediate (Grade 4-6),"During the class election, Judith garnered 56% votes. Twenty-eight pupils voted for her out of 50 pupils. Which is the percentage?",0.56,28 pupils,50 pupils,15 pupils,28 pupils,1,Average
2792,Mathematics,Intermediate (Grade 4-6),"During the class election, Judith garnered 56% votes. Twenty-eight pupils voted for her out of 50 pupils. Which is the rate?",25%,50 pupils,0.56,28 pupils,0.56,1,Average
2793,Mathematics,Intermediate (Grade 4-6),"During the class election, Judith garnered 56% votes. Twenty-eight pupils voted for her out of 50 pupils. Which is the base?",28 pupils,5 pupils,0.56,50 pupils,50 pupils,1,Average
2794,Mathematics,Intermediate (Grade 4-6),Jonathan scored 87 points out of 100 in their Math exam. The passing rate is 75%. Did Jonathan pass the math exam? Select the correct answer.,Jonathan passed the math exam with a score of 75%.,Jonathan passed the math exam with a score of 87%.,Jonathan passed the math exam with a score of 100%.,Jonathan passed the math exam with a score of 78%.,Jonathan passed the math exam with a score of 87%.,1,Average
2795,Mathematics,Intermediate (Grade 4-6),The population of Grade 5 pupils is 300. The number of boys is  46% while the number of girls is 54%. How many girls are in Grade 5?,154 girls,162 girls,138 girls,173 girls,162 girls,1,Average
2796,Mathematics,Intermediate (Grade 4-6),The population of Grade 5 pupils is 300. The number of boys is  46% while the number of girls is 54%. How many boys are in Grade 5?,173 boys,154 boys,138 boys,162 boys,138 boys,1,Average
2797,Mathematics,Intermediate (Grade 4-6),"Patty invested 30% of her savings in the bank. If her savings is 6,000 pesos, how much did she invest in the bank?","PHP 1,500","PHP 1,300","PHP 1,700","PHP 1,800","PHP 1,800",1,Average
2798,Mathematics,Intermediate (Grade 4-6),Sixty people were invited during the first birthday of Josh and Annie's child. How many people came if only 30% attended the party?,18 people,16 people,17 people,15 people,18 people,1,Average
2799,Mathematics,Intermediate (Grade 4-6),"Ana was tasked to draw 120 drawings. After a month, he finished 75% of the job. How many drawings did Ana finish in a month?",88 graphics,91 graphics,90 graphics,89 graphics,90 graphics,1,Average
2800,Mathematics,Intermediate (Grade 4-6),"The total number of passengers in a bus during Mondays is composed of 30% students, 50% professionals, and 20% elderly. If the number of passengers in a bus is 60, how many students are there? Select the correct answer.",30 students,18 students,12 students,40 students,18 students,1,Average
2801,Mathematics,Intermediate (Grade 4-6),"Marky had a total of 240 red pens and blue pens. 35% of them are red while the rest are blue. If Marky will buy additional red pens and the percentage of the red pens will increase to 40%, how many red pens did Marky buy? Select the correct answer.",14 pens,10 pens,12 pens,8 pens,12 pens,1,Average
2802,Mathematics,Intermediate (Grade 4-6),"A shoe is on sale with 20% discount from the real price. If Judith bought the shoe and paid 461 pesos, what is the original price of the shoe?",PHP 576.25,PHP 553.20,PHP 552.20,PHP 551.20,PHP 576.25,1,Average
2803,Mathematics,Intermediate (Grade 4-6),"John invested PHP 10,000. After a year, he earned 5% of what he invested. After two years, he earned 10%. After three years, he earned 15%. How much did John earn after a year? Select the correct answer.",PHP 520,PHP 450,PHP 490,PHP 500,PHP 500,1,Average
2804,Mathematics,Intermediate (Grade 4-6),"John invested PHP 10,000. After a year, he earned 5% of what he invested. After two years, he earned 10%. After three years, he earned 15%. How much did John earn after three years? Select the correct answer.","PHP 2,970","PHP 3,000","PHP 3,200","PHP 2,750","PHP 3,000",1,Average
2805,Mathematics,Intermediate (Grade 4-6),A boxer won 80% of all the fights he boxed. He boxed 65 fights. What is missing from the problem? Select the correct answer.,What is asked?,None,Situation,Given,What is asked?,1,Average
2806,Mathematics,Intermediate (Grade 4-6),"75% and PHP 45,000. What is missing in the problem? Select the correct answer.",Given,What is asked?,Situation,None,Situation,1,Average
2807,Mathematics,Intermediate (Grade 4-6),"The pair of shoes cost PHP 2,400. The sale is 50%. How much will be the cost of the pair of shoes? What is missing in the problem? Select the correct answer.",None,Given,Situation,What is asked?,None,1,Average
2808,Mathematics,Intermediate (Grade 4-6),"In a concert, there were more males than females. How many males were in the concert? What is missing in the problem? Select the correct answer.",What is asked?,None,Situation,Given,Given,1,Average
2809,Mathematics,Intermediate (Grade 4-6),"The price of a commodity increases by 3% every year. If its price now is PHP 1,200, what will be its price of in 5 years? What is missing in the problem? Select the correct answer.",Given,What is asked?,Situation,None,None,1,Average
2810,Mathematics,Intermediate (Grade 4-6),Which of the following figures is nonagon? Select the correct answer.,images/quizzes/MathQ05062_01_opD.JPG,images/quizzes/MathQ05062_01_opB.JPG,images/quizzes/MathQ05062_01_opC.JPG,images/quizzes/MathQ05062_01_opA.JPG,images/quizzes/MathQ05062_01_opB.JPG,0,Average
2811,Mathematics,Intermediate (Grade 4-6),Which of the following describes an octagon? Select the correct answer.,a polygon with six sides,a polygon with ten sides,a polygon with eight sides,a polygon with seven sides,a polygon with eight sides,1,Average
2812,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05062_03.jpg,1: hexagon; 2: pentagon; 3: heptagon,1: pentagon; 2: pentagon; 3: heptagon,1: hexagon; 2: pentagon; 3: pentagon,,1: hexagon; 2: pentagon; 3: heptagon,0,Average
2813,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05062_04.jpg,octagon,nonagon,heptagon,decagon,decagon,0,Average
2814,Mathematics,Intermediate (Grade 4-6),Which of the following is incorrectly paired?,pentagon - 5 sides,nonagon - 9 sides,heptagon - 7 sides,hexagon - 8 sides,hexagon - 8 sides,1,Average
2815,Mathematics,Intermediate (Grade 4-6),Which of the following is a regular polygon?,images/quizzes/MathQ05063_01_opB.JPG,images/quizzes/MathQ05063_01_opA.JPG,images/quizzes/MathQ05063_01_opC.JPG,images/quizzes/MathQ05063_01_opD.JPG,images/quizzes/MathQ05063_01_opB.JPG,0,Average
2817,Mathematics,Intermediate (Grade 4-6),Which of the following figures is different from the others?,images/quizzes/MathQ05063_03_opA.JPG,images/quizzes/MathQ05063_03_opD.JPG,images/quizzes/MathQ05063_03_opC.JPG,images/quizzes/MathQ05063_03_opB.JPG,images/quizzes/MathQ05063_03_opC.JPG,0,Average
2818,Mathematics,Intermediate (Grade 4-6),Which of the following quadrilaterals is a regular polygon? Choose the best answer.,rhombus,rectangle,square,parallelogram,square,1,Average
2819,Mathematics,Intermediate (Grade 4-6),Identify if the statement is true or false. A regular polygon has equal sides but unequal angles. Select the correct answer.,,FALSE,,TRUE,FALSE,0,Average
2820,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05064_01.jpg,images/quizzes/MathQ05064_01_opA.JPG,images/quizzes/MathQ05064_01_opD.JPG,images/quizzes/MathQ05064_01_opC.JPG,images/quizzes/MathQ05064_01_opB.JPG,images/quizzes/MathQ05064_01_opA.JPG,0,Average
2821,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05064_02.jpg,nonagon,decagon,octagon,heptagon,nonagon,0,Average
2822,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05064_03.jpg,heptagon,hexagon,octagon,pentagon,pentagon,0,Average
2823,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05064_04.jpg,images/quizzes/MathQ05064_04_opA.JPG,images/quizzes/MathQ05064_04_opD.JPG,images/quizzes/MathQ05064_04_opC.JPG,images/quizzes/MathQ05064_04_opB.JPG,images/quizzes/MathQ05064_04_opC.JPG,0,Average
2824,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05064_05.jpg,hexagon,pentagon,octagon,heptagon,octagon,0,Average
2825,Mathematics,Intermediate (Grade 4-6),Identify if the statement is true or false. Congruent polygons have the same shape. Select the correct answer.,,FALSE,,TRUE,FALSE,0,Average
2826,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05065_02.jpg,images/quizzes/MathQ05065_02_opA.JPG,images/quizzes/MathQ05065_02_opD.JPG,images/quizzes/MathQ05065_02_opC.JPG,images/quizzes/MathQ05065_02_opB.JPG,images/quizzes/MathQ05065_02_opA.JPG,0,Average
2827,Mathematics,Intermediate (Grade 4-6),Which of the following polygon pairs are congruent? Select the correct answer.,images/quizzes/MathQ05065_03_opB.JPG,images/quizzes/MathQ05065_03_opA.JPG,images/quizzes/MathQ05065_03_opC.JPG,images/quizzes/MathQ05065_03_opD.JPG,images/quizzes/MathQ05065_03_opA.JPG,0,Average
2828,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05065_04.jpg,images/quizzes/MathQ05065_04_opD.JPG,images/quizzes/MathQ05065_04_opB.JPG,images/quizzes/MathQ05065_04_opC.JPG,images/quizzes/MathQ05065_04_opA.JPG,images/quizzes/MathQ05065_04_opC.JPG,0,Average
2829,Mathematics,Intermediate (Grade 4-6),Which of the following polygon does not belong to the group? Select the correct answer.,images/quizzes/MathQ05065_05_opA.JPG,images/quizzes/MathQ05065_05_opD.JPG,images/quizzes/MathQ05065_05_opC.JPG,images/quizzes/MathQ05065_05_opB.JPG,images/quizzes/MathQ05065_05_opD.JPG,0,Average
2830,Mathematics,Intermediate (Grade 4-6),Identify if the statement is true or false. A circle is made up of infinite number of points that have unequal distance from the center. Select the correct answer.,FALSE,TRUE,,,FALSE,0,Average
2831,Mathematics,Intermediate (Grade 4-6),Which of the following is a circle? Select the correct answer.,images/quizzes/MathQ05066_02_opD.JPG,MathQ05066_02_opB,images/quizzes/MathQ05066_02_opC.JPG,images/quizzes/MathQ05066_02_opA.JPG,NULL,0,Average
2832,Mathematics,Intermediate (Grade 4-6),Which of the following is the circle X? Select the correct answer.,images/quizzes/MathQ05066_03_opA.JPG,images/quizzes/MathQ05066_03_opD.JPG,images/quizzes/MathQ05066_03_opC.JPG,MathQ05066_03_opB,images/quizzes/MathQ05066_03_opC.JPG,0,Average
2833,Mathematics,Intermediate (Grade 4-6),Which of the following does not describe a circle? Select the correct answer.,made up of straight lines,two-dimensional,closed figure,has infinite number points,made up of straight lines,1,Average
2834,Mathematics,Intermediate (Grade 4-6),Which of the following is not a circle? Select the correct answer.,images/quizzes/MathQ05066_05_opD.JPG,MathQ05066_05_opB,images/quizzes/MathQ05066_05_opC.JPG,images/quizzes/MathQ05066_05_opA.JPG,NULL,0,Average
2835,Mathematics,Intermediate (Grade 4-6),What is a segment with one endpoint at the center of a circle and the other endpoint on the circle? Select the correct answer.,diameter,chord,secant,radius,radius,1,Average
2836,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05067_02.jpg,B,A,C,D,C,0,Average
2837,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05067_03.JPG,arc DCB,arc ABC,arc ADC,arc ABD,arc ABD,0,Average
2838,Mathematics,Intermediate (Grade 4-6),Fill in the blank by selecting the correct word. A/An ________ consists of two endpoints on a circle and all of the points on the circle between those two endpoints.,arc,central angle,chord,inscribed angle,arc,1,Average
2839,Mathematics,Intermediate (Grade 4-6),Which of the following shows an inscribed angle? Select the correct answer.,images/quizzes/MathQ05067_05_opB.JPG,images/quizzes/MathQ05067_05_opA.JPG,images/quizzes/MathQ05067_05_opC.JPG,images/quizzes/MathQ05067_05_opD.JPG,images/quizzes/MathQ05067_05_opA.JPG,0,Average
2840,Mathematics,Intermediate (Grade 4-6),Which of the following figures is a compass? Select the correct answer.,,images/quizzes/MathQ05068_01_opB.JPG,images/quizzes/MathQ05068_01_opC.JPG,images/quizzes/MathQ05068_01_opA.JPG,images/quizzes/MathQ05068_01_opB.JPG,0,Average
2841,Mathematics,Intermediate (Grade 4-6),What will you use to set the radius of the circle to be drawn? Select the correct answer.,images/quizzes/MathQ05068_02_opA.JPG,,images/quizzes/MathQ05068_02_opC.JPG,images/quizzes/MathQ05068_02_opB.JPG,images/quizzes/MathQ05068_02_opC.JPG,0,Average
2842,Mathematics,Intermediate (Grade 4-6),What is the correct order of steps in drawing circle with different radii? Drag and drop the numbers to the correct boxes.,"1 → Draw the circle by turning the compass, 2 → Place the point of the compass at the center of the circle, 3 → Use a ruler to set the length of the radius","1 → Place the point of the compass at the center of the circle, 2 → Use a ruler to set the length of the radius, 3 → Draw the circle by turning the compass","1 → Use a ruler to set the length of the radius, 2 → Place the point of the compass at the center of the circle, 3 → Draw the circle by turning the compass","1 → Draw the circle by turning the compass, 2 → Use a ruler to set the length of the radius, 3 → Place the point of the compass at the center of the circle","1 → Use a ruler to set the length of the radius, 2 → Place the point of the compass at the center of the circle, 3 → Draw the circle by turning the compass",1,Average
2843,Mathematics,Intermediate (Grade 4-6),"When using a compass, it is necessary to make sure that the hinge at the top of the compass is tightened so that it does not slip.",,FALSE,,TRUE,TRUE,0,Average
2844,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05068_05.jpg,C-D-B-A,D-A-C-B,B-C-A-D,A-B-C-D,C-D-B-A,0,Average
2845,Mathematics,Intermediate (Grade 4-6),Which of the following is not a part of a solid figure?,length x width,width,depth,time,time,1,Average
2846,Mathematics,Intermediate (Grade 4-6),Which of the following figures is not a prism? Select the correct answer.,images/quizzes/MathQ05069_02_opD.JPG,images/quizzes/MathQ05069_02_opB.JPG,images/quizzes/MathQ05069_02_opC.JPG,images/quizzes/MathQ05069_02_opA.JPG,images/quizzes/MathQ05069_02_opC.JPG,0,Average
2847,Mathematics,Intermediate (Grade 4-6),Which of the following does not have a radius? Choose the best answer.,cylinder,cone,sphere,pyramid,pyramid,1,Average
2848,Mathematics,Intermediate (Grade 4-6),Which of the following figures is a sphere? Select the correct answer.,images/quizzes/MathQ05069_04_opB.JPG,images/quizzes/MathQ05069_04_opA.JPG,images/quizzes/MathQ05069_04_opC.JPG,images/quizzes/MathQ05069_04_opD.JPG,images/quizzes/MathQ05069_04_opC.JPG,0,Average
2849,Mathematics,Intermediate (Grade 4-6),images/quizzes/MathQ05069_05.jpg,,FALSE,,TRUE,FALSE,0,Average
2850,Mathematics,Intermediate (Grade 4-6),Identify if the statement is true or false. A cube is composed of five identical squares.,TRUE,,,FALSE,FALSE,0,Average
